READING_DATE_MUTATE,DISTANCE_SUM,SPEED_AVE_ALL,HEART_RATE_AVG_ALL
2015/11/04,9.02665,10.53,144.7
2015/11/05,7.703945,10.755,143
2015/11/06,8.0406,10.4544,144
2015/11/07,20.09182,10.1556,147.05
2015/11/08,10.5919,10.2672,147
2015/11/09,8.02216,10.53,145
2015/11/10,8.00521,10.71,146
2015/11/11,8.127475,10.5264,140.4
2015/11/12,7.50894,10.53997961,147
2015/11/13,8.01343,10.26738792,139
2015/11/14,14.66891,10.5012,152
2015/11/15,10.677045,10.0854,144
2015/11/16,7.41863,10.41598116,142
2015/11/17,7.966585,10.5732,145.4
2015/11/18,8.1666,10.6128,145
2015/11/19,8.201325,10.7712,149
2015/11/20,7.9197,10.575,141
2015/11/21,10.13019,10.4544,145.2
2015/11/22,30.00786,10.3626,153
2015/11/23,7.11278,10.48943106,143
2015/11/24,8.045415,10.6398,148
2015/11/25,9.00181,10.3608,145
2015/11/26,8.00885,10.4814,146.5
2015/11/27,8.76126,10.54583749,144
2015/11/28,10.67308,10.3248,150.5
2015/11/29,11.00792,10.3788,144.94311
2015/11/30,7.7783,10.4076,139
2015/12/01,7.580405,10.5786,145
2015/12/02,9.0512,10.48868223,146
2015/12/03,8.008315,10.4616,143.06562
2015/12/04,8.094715,10.0476,144
2015/12/05,12.16,10.0766556,149
2015/12/06,10.918,10.2348,147
2015/12/07,8.07,10.332,142
2015/12/08,8.58035,10.5066,148
2015/12/09,8.78943,10.3194,144
2015/12/10,8.136035,10.6326,145.8
2015/12/11,8.67766,10.2924,143.95
2015/12/12,10.448635,10.2996,147
2015/12/13,12.1771,10.1358,141.8
2015/12/14,8.09603,10.5408,144
2015/12/15,8.491425,10.5624,145.35
2015/12/16,10.1261,10.2618,145
2015/12/17,8.5893,10.4544,144.5
2015/12/18,9.68818,10.5732,145
2015/12/19,10.2888,10.3086,146
2015/12/20,12.310455,9.9288,140
2015/12/21,8.73207,10.287,144
2015/12/22,8.2979,10.5858,144.05
2015/12/23,9.50517,10.5858,144.2
2015/12/24,9.36901,10.32033361,146.4
2015/12/25,9.37284,10.449,142
2015/12/26,10.20422,10.368,142.6
2015/12/27,12.2582,10.2654,143
2015/12/28,8.70207,10.1399929,144.8
2015/12/29,8.37827,10.1844,144.95
2015/12/30,10.2018,10.05697224,144.5
2015/12/31,9.981,10.36273717,144.6
2016/01/01,8.36605,10.24981627,148
2016/01/02,10.1706,10.17,148
2016/01/03,14.279135,10.2708,144
2016/01/04,8.1881,10.2492,144
2016/01/05,8.205,10.5156,148
2016/01/06,10.0284,10.4004,145
2016/01/07,8.591145,10.37863548,146
2016/01/08,8.70156,10.5516,142.7
2016/01/09,12.20091,10.2384,148
2016/01/10,15.6782295,10.4616,148
2016/01/11,8.01014,10.746,142
2016/01/12,7.99617,10.6056,145
2016/01/13,10.06874,10.4472,146
2016/01/14,8.583765,10.47181743,147.35
2016/01/15,8.854385,10.5372,145
2016/01/16,15.064465,10.14194832,147.85
2016/01/17,21.1932,10.512,149
2016/01/18,8.12362,10.4418,144
2016/01/19,8.90773,10.6614,146
2016/01/20,9.80081,10.64652885,145
2016/01/21,9.026335,10.6344,148
2016/01/22,8.928815,10.593,145
2016/01/23,20.892,10.071,150
2016/01/24,19.80136,10.1736,146
2016/01/25,8.12611,10.5534,145.8243
2016/01/26,8.475445,10.6812,145.8
2016/01/27,9.74493,10.7208,144
2016/01/28,8.639345,10.6092,146
2016/01/29,8.69815,10.5426,144
2016/01/30,15.60845,9.999,147.2
2016/01/31,21.52783,10.098,148
2016/02/01,7.164,10.5156,142
2016/02/02,9.0268,10.5336,142
2016/02/03,9.83322,10.6344,142
2016/02/04,8.67791,10.5048,144
2016/02/05,9.2672,10.5408,142
2016/02/06,20.205335,10.2996,147
2016/02/07,18.9583,10.0692,143
2016/02/08,8.1703,10.4652,142
2016/02/09,9.38501,10.7136,143
2016/02/10,10.000195,10.5426,144.5
2016/02/11,8.83952,10.8,147.4
2016/02/12,9.39141,10.4292,141
2016/02/13,17.0615,10.04125584,144.15
2016/02/14,25.24337,10.2075408,147
2016/02/15,8.14271,10.3068,146
2016/02/16,9.11894,10.6578,146
2016/02/17,10.03133,10.3986,143
2016/02/18,8.470855,10.6308,146.1
2016/02/19,9.11731,10.4688,145
2016/02/20,15.981965,10.2672,148
2016/02/21,21.04757,10.458,147
2016/02/22,8.04183,10.2030282,143
2016/02/23,9.30292,10.5768,144.7
2016/02/24,10.005985,10.6236,143
2016/02/25,9.17605,10.3788,143.5
2016/02/26,9.27553,10.4161554,142.9
2016/02/27,14.9969,10.1088,142
2016/02/28,24.657505,10.1664,147
2016/02/29,8.150865,10.3716,142
2016/03/01,9.0592,10.5714,145
2016/03/02,10.05188,10.5804,144
2016/03/03,9.315455,10.4382,146
2016/03/04,9.59685,10.3248,142.85
2016/03/05,18.92,9.8676,148
2016/03/06,22.08539,10.2276,145
2016/03/07,8.62573,10.4436,140
2016/03/08,9.267535,10.51146108,143.3
2016/03/09,10.113405,10.6524,143
2016/03/10,9.01231,10.5876,143
2016/03/11,10.020325,10.2816,145
2016/03/12,20.96382,9.85952556,145
2016/03/13,21.173525,10.0926,143
2016/03/14,8.102875,10.3608,141
2016/03/15,9.8,10.5048,144.45
2016/03/16,10.048305,10.4832,142
2016/03/17,9.0841715,10.5516,144
2016/03/18,9.87216,10.4004,141.66741
2016/03/19,15.09488,10.1736,146
2016/03/20,14.74,10.0908,142
2016/03/21,10.13097,10.22594112,142.55
2016/03/22,8.46369,10.611,143
2016/03/23,9.05175,10.386,141
2016/03/24,7.05736,10.6668,138.5
2016/03/25,10.361505,9.9378,142
2016/03/26,51.20723,9.8316,149
2016/03/27,13.51752,10.2384,140
2016/03/28,10.58489,10.3104,141
2016/03/29,8.750515,10.692,140
2016/03/30,10.07747,10.44281574,141.5
2016/03/31,9.17227,10.5372,145
2016/04/01,9.5079,10.395,142.5
2016/04/02,17.38771,10.242,146
2016/04/03,19.47183,10.1484,143.9
2016/04/04,9.38111,10.4076,142
2016/04/05,10.016,10.7172,146
2016/04/06,10.55997,10.4616,142
2016/04/07,9.77384,10.55704068,145
2016/04/08,9.5922,10.602,140
2016/04/09,19.271805,10.04728104,146
2016/04/10,25.17236,10.0026,144
2016/04/11,9.00495,10.3752,141.5
2016/04/12,10.0100925,10.3572,144
2016/04/13,10.37574,10.3806,143
2016/04/14,10.01009,10.476,143
2016/04/15,9.603535,10.43238816,140
2016/04/16,21.89127,10.0656,146
2016/04/17,23.719275,9.6588,142
2016/04/18,9.22201,10.413,141
2016/04/19,10.007885,10.3932,143
2016/04/20,10.89348,10.368,141
2016/04/21,10.02292,10.5192,141
2016/04/22,10.01772,10.395,139
2016/04/23,17.57986,9.972,143
2016/04/24,24.13788,9.936,143
2016/04/25,10.006,10.2535227,141
2016/04/26,10.0057,10.458,141
2016/04/27,18.44868,10.206,145
2016/04/28,9.94921,10.4148,139
2016/04/29,10.041,10.422,142
2016/04/30,16.17108,10.1664,144
2016/05/01,21.17685,10.2816,144
2016/05/02,21.12539,10.206,144
2016/05/03,8.926525,10.60545006,141
2016/05/04,10.28,10.4796,141
2016/05/05,9.9462,10.3752,144
2016/05/06,9.676805,10.4652,143
2016/05/07,20.05161,10.0692,146
2016/05/08,20.42501,10.3392,144
2016/05/09,9.3636,10.3104,140
2016/05/10,9.76303,10.593,147
2016/05/11,10.15463,10.34191134,142
2016/05/12,9.607745,10.4544,144
2016/05/13,9.48734,10.5084,141
2016/05/14,15.052425,10.035,145
2016/05/15,12.29576,10.5084,145
2016/05/16,8.21788,10.4328,142
2016/05/17,8.69572,10.5714,145.946
2016/05/18,9.08414,10.467,141
2016/05/19,8.04029,10.557,144
2016/05/20,8.000705,10.5156,142
2016/05/21,10.16478,10.1052,144
2016/05/22,10.0457,10.242,141
2016/05/23,6.11512,10.4778,140
2016/05/24,6.56446,10.44,143.35345
2016/05/25,5.45452,10.1376,140
2016/05/26,4.28447,10.4832,142
2016/05/27,2.87191,10.1196,135
2016/05/28,3.153995,9.5166,130
2016/05/29,90.30038,8.6112,146
2016/05/30,0.06596,10.44,142
2016/05/31,0.09465,11.4588,143
